2020-03-08 23:59:14,b'9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c #Coronavirus https://t.co/Qv6k5brz0i'
2020-03-08 23:58:01,b'\xe3\x80\x8c9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c\xe3\x80\x8d #Coronavirus https://t.co/voMNQ9kH4X'
2020-03-08 23:57:51,b'RT @7Znv478Zu8TnSWj: \xe6\xad\xa6\xe6\xbc\xa2\xe8\x82\xba\xe7\x82\x8e\xe3\x81\x8c\xe3\x81\xaf\xe3\x82\x89\xe3\x81\x8b\xe3\x81\x9a\xe3\x82\x82\xe9\x9f\x93\xe5\x9b\xbd\xe6\x96\xad\xe8\xa1\x8c\xe3\x82\x92\xe5\xbe\x8c\xe6\x8a\xbc\xe3\x81\x97\xe3\x81\x97\xe3\x81\x9f\xe5\xbd\xa2\xe3\x81\xad\xe3\x80\x82\n\n\xe2\x9e\xa1\xef\xb8\x8f 9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c #Coronavirus https://t.co/ctM5lD1xT0'
2020-03-08 23:57:04,"b'RT @bouche_bee: #Appel de Dr Barbara Balanzoni, Anesthesiste #Reanimatrice pr\xc3\xa8s de Verone \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 (\xc3\xa0 l\'est de Lombardie) 04.03.2020\n00:04 ""je vo\xe2\x80\xa6'"
2020-03-08 23:56:39,"b'RT @Spiro0815: J\xc3\xa4hrlich gibt es in \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa ca. 600.00 Infektionen durch Krankenhaus-keime, woran bis zu 20.000 Menschen sterben. Gibt es da eige\xe2\x80\xa6'"
2020-03-08 23:55:37,"b'RT @RichardDuvall18: THIS WHOLE CORONA thing sounds like BULLSHIT ! \nNO SPORTS IN EUROPE ?\n16, 000,000.00 (millon) people under MARTIAL LAW\xe2\x80\xa6'"
2020-03-08 23:55:24,b'RT @Garon5692: #COVID19 cases in Lombardy region (#Italy)\n2020-08-03 17:00\n#coronavirus \nSource data: https://t.co/gjJXcm46od https://t.co/\xe2\x80\xa6'
2020-03-08 23:54:24,b'RT @KellyPaaBio: \xe4\xbb\x8a\xe5\xb9\xb4\xe6\x9c\x80\xe5\xa4\xa7\xe7\xb4\x9a\xe3\x81\xae\xe3\x80\x8c\xe3\x81\x8a\xe5\x89\x8d\xe3\x81\x8c\xe8\xa8\x80\xe3\x81\x86\xe3\x81\xaa\xe3\x80\x8d\n\n 9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c #Coronavirus https://t.co/eKeQSGW2Ik'
2020-03-08 23:53:59,b'\xe3\x80\x8c9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c\xe3\x80\x8d #Coronavirus https://t.co/gfbHhcozR2'
2020-03-08 23:53:39,b'\xe3\x80\x8c9\xe6\x97\xa58:00\xe6\x9b\xb4\xe6\x96\xb0\xef\xbc\x9a\xe4\xb8\xad\xe9\x9f\x93\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe5\x85\xa5\xe5\x9b\xbd\xe5\x88\xb6\xe9\x99\x90\xe3\x82\x92\xe7\x99\xba\xe5\x8b\x95 \xe6\x97\xa5\xe6\x9c\xac\xe6\x94\xbf\xe5\xba\x9c\xe3\x80\x8d\n#\xe6\x96\xb0\xe5\x9e\x8b\xe6\xad\xa6\xe6\xbc\xa2\xe8\x82\xba\xe7\x82\x8e \n#\xe6\x96\xb0\xe5\x9e\x8b\xe6\xad\xa6\xe6\xbc\xa2\xe8\x82\xba\xe7\x82\x8e\xe3\x82\xa6\xe3\x82\xa4\xe3\x83\xab\xe3\x82\xb9 \n#Coronavirus https://t.co/BC6heUe5uL'
